"A1001","ADARSHA VIDYAMANDIR"
"B1009","ARIADAHA KALACHAND HIGH SCHOOL"
"B1010","ARIADAHA RAMANANDA CHARITY VIDYALAYA"
"B1011","ARIADAHA SREE VIDYANIKETAN HIGH SCHOOL"
"B1012","ASHOKEGARH ADARSHA VIDYALAYA FOR BOYS'"
"B1013","ATHPUR HIGH SCHOOL"
"B1014","BALIVARA SARASWATI VIDYAMANDIR"
"B1016","BANDIPUR IDEAL ACADEMY"
"B1017","BARANAGAR NARENDRANATH VIDYAMANDIR"
"B1018","BARANAGAR NETAJI HIGH SCHOOL"
"B1019","BARANAGAR R.K.MISSION ASHRAM HIGH SCHOOL"
"B1020","BARANAGAR RAMESWAR HIGH SCHOOL"
"B1021","BARANAGAR SIKHSHA SADAN HIGH SCHOOL"
"B1022","BARANAGAR SREE SREE RAMKRISHNA VIDYAPITH"
"B1024","BARANAGAR VIDYAMANDIR"
"B1025","BARRACKPORE AMBIKA BIMALA MODEL HIGH SCHOOL"
"B1026","BARRACKPORE CANTONMENT VIDYAPITH."
"B1027","BARRACKPORE DEBIPRASAD HIGH SCHOOL"
"B1028","BARRACKPORE GOVT.HIGH SCHOOL"
"B1029","BARRACKPORE WESLEY HINDUSTHANI HIGH SCHOOL"
"B1030","BASUDEVPUR PALLI HITASADHANI HIGH SCHOOL"
"B1031","BELGHORIA DESHAPRIYA VIDYANIKETAN"
"B1032","BELGHORIA HIGH SCHOOL"
"B1033","BELGHORIA JATINDAS VIDYAMANDIR"
"B1034","BELGHORIA TEXMACO ESTATE SCHOOL"
"B1035","BELGHORIA TRIVASA ACADEMY"
"B1036","BHATPARA AMARKRISHNA PATHSALA"
"B1037","BHATPARA HIGH SCHOOL"
"B1038","BIDHAN PALLI HIGH SCHOOL"
"B1039","BIDHANNAGAR HIGH SCHOOL (GOVT)"
"B1040","BIJOYNAGAR BOYS HIGH SCHOOL"
"B1041","BIJOYNAGAR VIDYALAYA"
"B1042","BIRATI HIGH SCHOOL"
"B1043","BIRATI MAHAJATI VIDYAMANDIR"
"B1044","BIRATI VIDYALAYA FOR BOYS"
"B1045","BONHUGHLY HIGH SCHOOL"
"B1046","CALCUTTA AIRPORT ENGLISH HIGH SCHOOL"
"B1047","DAKSHINESWAR HIGH SCHOOL"
"B1048","DUM DUM AIRPORT HIGH SCHOOL"
"B1049","DUM DUM AIRPORT HINDI HIGH SCHOOL"
"B1050","DUM DUM BAIDYANATH INSTITUTION"
"B1051","DUM DUM BAPUJI COLONY ADARSHA BUNIADI VIDYAMANDIR"
"B1052","DUM DUM K.L.S.HINDI VIDYALAYA"
"B1053","DUM DUM KRISHNA KUMAR HINDU ACADEMY"
"B1054","DUM DUM MOTILAL VIDYAYATAN HIGH SCHOOL"
"B1056","DUM DUM SARBODAYA VIDYAPITH"
"B1057","DUM DUM SREE KRISHNA VIDYALAYA."
"B1058","DUM DUM SREE ARABINDA VIDYAMANDIR"
"B1059","DUM DUM SUBHAS NAGAR HIGH SCHOOL"
"B1060","DUM DUM VIDYAMANDIR"
"B1061","DUM DUM VIVEKANANDA VIDYALAYA"
"B1062","DUMDUM J.N. VIDYAPITH (CO-ED HIGH)"
"B1063","DUMDUM KISHORE BHARATI HIGH SCHOOL"
"B1064","DURGANAGAR NEPAL CHANDRA VIDYAPITH HIGH SCHOOL"
"B1065","EASTLAND VIDYAMANDIR HIGH SCHOOL"
"B1066","ENAMELNAGAR VIVEKANANDA VIDYANIKETAN"
"B1067","GARIFA HIGH SCHOOL"
"B1068","GARULIA MILL HIGH SCHOOL"
"B1069","GARULIA SHREE GOURI SHANKAR JUTE MILLS HINDI VIDYALAYA"
"B1070","GHOLA HIGH SCHOOL"
"B1071","GHUGHUDANGA BHARATI VIDYAMANDIR"
"B1072","GOURIPUR HINDI HIGH SCHOOL"
"B1073","GURDAH HIGH SCHOOL"
"B1074","GURDAH RISHI AUROBINDA VIDYANIKETAN"
"B1075","HALISAHAR ADARSHA VIDYAPITH"
"B1076","HALISAHAR HIGH SCHOOL"
"B1077","HALISAHAR MALLICK BAG HIGH SCHOOL"
"B1078","HALISAHAR RABINDRA VIDYAMANDIR"
"B1079","HALISAHAR RAMPROSAD VIDYAPITH"
"B1080","HAZI NAGAR ADARSHA HINDI VIDYALAYA"
"B1081","ICHAPUR BIBHUKINKAR HIGH SCHOOL"
"B1082","ICHAPUR NAWABGANJ ANANDAMATH VIDYAPITH"
"B1084","ICHAPUR NORTHLAND HIGH SCHOOL"
"B1085","ICHAPUR RIFLE FACTORY HIGH SCHOOL"
"B1086","JAFARPUR BIDYARTHI BHAWAN"
"B1087","JAGADAL CHASMA-I-RAHMAT HIGH SCHOOL"
"B1088","JAGADDAL KAMALA HIGH SCHOOL"
"B1089","JAGATDAL SRI HARI UCHCHA VIDYALAYA"
"B1090","JATIA HIGH SCHOOL"
"B1091","JONEPUR HIGH SCHOOL"
"B1092","JYOTINAGAR BIDYASREE NIKETAN"
"B1093","KALYANGRAM MADHYAMIK VIDYALAYA"
"B1094","KALYANNAGAR VIDYAPITH"
"B1095","KAMALAPUR KAMALA VIDYAPITH"
"B1096","KAMARHATI HIGH SCHOOL"
"B1097","KAMARHATI PRABARTAK VIDYAPITH"
"B1098","KAMARHATI SAGORE DUTTA FREE HIGH SCHOOL"
"B1099","KAMPA HIGH SCHOOL"
"B1100","KANCHRAPARA HARNETT HIGH SCHOOL"
"B1101","KANCHRAPARA HIGH SCHOOL"
"B1102","KANCHRAPARA JANATA HIGH SCHOOL"
"B1103","KANCHRAPARA MUNICIPAL POLYTECNIC HIGH SCHOOL"
"B1104","KANCHRAPARA RAMPRASAD HIGH SCHOOL"
"B1105","KANCHRAPARA SHREE MANDHARI HIGH SCHOOL"
"B1106","KANCHRAPARA UDBODHINI MADHYAMIK VIDYAPITH"
"B1107","KANKINARA ARYA VIDYALAYA"
"B1108","KANKINARA HIGH SCHOOL"
"B1109","KANKINARA HIMAYATUL GURBA HIGH SCHOOL"
"B1110","KHALISAKOTA ADARSHA VIDYALAYA"
"B1111","KHARDAH MAKTAB HIGH SCHOOL"
"B1112","KHARDAH SIBNATH HIGH SCHOOL"
"B1113","KHARDAH SURYA SEN SIKSHA NIKETAN(HIGH)"
"B1114","KODALIA AGAPUR HIGH SCHOOL"
"B1115","KRISHNAPUR ADARSHA VIDYAMANDIR"
"B1116","LABAN HRAD BIDYAPITH"
"B1117","LATBAGAN HIGH SCHOOL"
"B1119","LENINGARH SIKSHANIKETAN"
"B1120","MADARPUR SUBHAS HIGH SCHOOL"
"B1121","MADRAL SRIRAM VIDYAPITH"
"B1122","MANDALPARA VIDYANIKETAN"
"B1123","MANIRAMPUR SWAMI MAHADEVANANDA VIDYAYATAN"
"B1124","MASUNDA (NEW BARRACKPORE) BOYS HIGH SCHOOL"
"B1125","MOHISPOTA BOYS HIGH SCHOOL"
"B1126","MONIRAMPUR HIGH SCHOOL"
"B1127","MULAJORE SITANATH PATHSALA"
"B1128","NABAJIBAN COLONY NABAJIBAN VIDYAMANDIR"
"B1130","NAIHATI ADARSHA VIDYANIKETAN"
"B1131","NAIHATI MAHENDRA HIGH SCHOOL"
"B1132","NAIHATI NARENDRA VIDYANIKETAN"
"B1133","NALTA MAHAJATI HIGH SCHOOL FOR BOYS"
"B1134","NANDANAGAR HIGH SCHOOL"
"B1135","NARAINDAS BANGUR MEMORIAL MULTIPURPOSE SCHOOL(GOVT.SPON.)"
"B1136","NARAYANPUR HARICHARAN TARAFDER HIGH SCHOOL"
"B1137","NATAGARH SASHIMUKHI HIGH SCHOOL"
"B1138","NATAGARH SRI SRI RAMKRISHNA VIDYAMANDIR"
"B1139","NATAGARH SWAMI VIVEKANANDA SEVA SAMITI VIDYALAYA"
"B1140","NAWABGANJ HIGH SCHOOL"
"B1141","NAWABGANJ SRIDHAR BANSIDHAR HIGH SCHOOL"
"B1142","NEW BARRACKPORE COLONY BOYS HIGH SCHOOL"
"B1143","NIMTA HIGH SCHOOL"
"B1144","NOAPARA BRAHMAMOYEE VIDYALAYA FOR BOYS"
"B1145","NONACHANDANPUKUR MANMATHA NATH HIGH SCHOOL"
"B1146","NONACHANDANPUKUR UMASASHI HIGH SCHOOL"
"B1147","PALASI ACHARYA DURGA PRASANNA HIGH SCHOOL"
"B1148","PANIHATI SRI RAMKRISHNA ASRAM VIDYAPITH"
"B1149","PANIHATI TRAN NATH HIGH SCHOOL"
"B1150","PANPUR MAKHANLAL HIGH SCHOOL"
"B1151","PANSILA DESHBANDHUNAGAR VIDYAMANDIR"
"B1152","PATIPUKUR ADYANATH SIKSHA MANDIR"
"B1153","PATIPUKUR PALLISHREE VIDYAPITH"
"B1154","PATIPUKUR PALLISREE VIDYALAYA"
"B1155","PATULIA HIGH SCHOOL"
"B1156","PRAFULLANAGAR ACHARYA PRAFULLA CH. VIDYAPITH"
"B1157","PRASADNAGAR HIGH SCHOOL"
"B1158","RAHARA RAMKRISHNA MISSION BOYS HOME"
"B1159","RAMKRISHNA VIVEKANANDA MISSION VIDYABHAVAN"
"B1160","RATHTALA FINGAPARA HIGH SCHOOL"
"B1161","RATNAGARH HIGH SCHOOL"
"B1162","SAHID RAMESWAR VIDYAMANDIR"
"B1163","SALIMIAH HIGH SCHOOL"
"B1164","SANTIGARH NIVANANI SMRITI VIDYAPITH"
"B1165","SANTINAGAR HIGH SCHOOL"
"B1166","SARAT COLONEY SARAT ACADEMY"
"B1167","SATIN SEN NAGAR HIGH SCHOOL"
"B1168","SETH BAGAN ADARSHA VIDYAMANDIR"
"B1169","SEWLI HIGH SCHOOL"
"B1170","SHIBTALA ADARSHA HIGH SCHOOL"
"B1171","SHYAMAPRASADNAGAR HIGH SCHOOL"
"B1172","SHYAMNAGAR HIGH SCHOOL"
"B1173","SHYAMNAGAR JAWAHARLAL NEHRU SMRITI VIDYAMANDIR"
"B1174","SHYAMNAGAR KANTI CHANDRA HIGH SCHOOL"
"B1175","SIKSHA NIKETAN HIGH SCHOOL"
"B1176","SINTHE RAI BAHADUR BADRIDAS TULSAN VIDYAPITH"
"B1177","SINTHEE SIKSHAYATAN BOYS HIGH SCHOOL"
"B1178","SODEPUR CHANDRACHUR VIDYAPITH"
"B1179","SODEPUR DESHABANDHU VIDYAPITH FOR BOYS"
"B1180","SODEPUR HIGH SCHOOL"
"B1181","SODEPUR NABADAY INSTITUTE"
"B1182","SODEPUR SUSHIL KRISHNA SIKSHAYATAN"
"B1183","SODEPUR TIRTHA BHARATI SIKSHAMANDIR H SCHOOL"
"B1184","SUKANTANAGAR VIDYANIKETAN HIGH SCHOOL"
"B1185","SUKCHAR KARMADHAKSHA CHANDRACHUR BIDYAYATAN"
"B1186","SUKCHAR KEDARNATH PODDER HIGH SCHOOL"
"B1187","SUNDIA HIGH SCHOOL"
"B1188","SWARNAMAYEE SMRITI VIDYALAYA HIGH SCHOOL"
"B1189","TALPUKUR KSHETROMOHAN MEMORIAL HIGH SCHOOL"
"B1190","TEGHORIA S. B. HIGH SCHOOL"
"B1191","TELINIPARA HIGH SCHOOL"
"B1192","TITAGARH ANDHRA VIDYALAYAM"
"B1193","TITAGARH ANGLO VERNACULAR HIGH SCHOOL"
"B1194","TITAGARH ANJUMAN GHARIBUL MUSELMEN H SCHOOL"
"B1195","TITAGARH ARYA VIDYALAYA"
"B1196","TITAGARH FREE INDIA HIGH SCHOOL"
"B1197","TITAGARH HIGH SCHOOL"
"B1198","TITAGARH KRISHNANATH MUNICIPAL HIGH SCHOOL"
"B1199","TITAGARH UPENDRA BHANJA VIDYAPITH"
"B1200","UDAYPUR HARADAYAL NAG ADARSHA VIDYALAYA"
"B1201","USHUMPUR ADARSHA UCHCHA VIDYALAYA"
"B1202","UTTAR DUM DUM VIDYAPITH FOR BOYS"
"B1203","UTTAR GARIFA PALLIMANGAL HIGH SCHOOL"
"B1204","UTTAR RABINDRANAGAR VIVEKANANDA HIGH SCHOOL"
"B1205","VIDYA VIKASH HIGH SCHOOL"
"B1206","WEST KODALIA ADARSHA SIKSHA SADAN"
"B1207","AGARPARA BALIKA VIDYALAYA"
"B1208","AGARPARA NETAJI SIKSHAYATAN FOR GIRLS"
"B1209","AGARPARA SABITRI MAHAJATI BALIKA VIDYAPITH"
"B1210","AHARAMPUR SAHARA GIRLS HIGH SCHOOL"
"B1211","AHARAMPUR TAPATI BALIKA VIDYABITHI"
"B1212","ARIADAHA GIRLS HIGH SCHOOL"
"B1213","ARIADAHA MONIKUNTALA BALIKA VIDYALAYA"
"B1214","ARIADAHA SARBAMANGALA BALIKA VIDYALAYA"
"B1215","ATHPUR BALIKA VIDYALAYA"
"B1216","BANDIPUR IDEAL ACADEMY FOR GIRLS"
"B1217","BANGUR AVENUE HIGH SCHOOL FOR GIRLS"
"B1218","BARANAGAR MAYAPITH NARI SIKSHA ASHRAM"
"B1219","BARANAGAR MOHAN GIRLS HIGH SCHOOL"
"B1220","BARANAGAR NETAJI COLONY BHARATI GIRLS INSTN."
"B1221","BARANAGAR RAJKUMARI MEMORIAL GIRLS H SCHOOL"
"B1222","BARANAGAR RAMESWAR GIRLS HIGH SCHOOL"
"B1223","BARANAGAR S C DHAR BALIKA VIDYALAYA"
"B1225","BARANAGAR VIDYAMANDIR FOR GIRLS"
"B1226","BARRACKPORE CANTONMENT GIRLS HIGH SCHOOL"
"B1227","BARRACKPORE GIRLS HIGH SCHOOL"
"B1228","BELGHORIA DESHAPRIYA VIDYANIKETAN GIRLS HIGH SCHOOL"
"B1229","BELGHORIA JATINDAS VIDYAMANDIR FOR GIRLS"
"B1230","BELGHORIA JATIYA VIDYANIKETAN FOR GIRLS"
"B1231","BELGHORIA MAHAKALI GIRLS HIGH SCHOOL"
"B1232","BHAGABATI DEVI BALIKA VIDYALAYA (GOVT.SPON)"
"B1233","BHATPARA CENTRAL HINDU GIRLS HIGH SCHOOL"
"B1234","BHATPARA MODEL GIRLS HIGH SCHOOL"
"B1235","BHATPARA T.N.BALIKA VIDYAMANDIR"
"B1236","BIJOYNAGAR BALIKA VIDYALAYA"
"B1237","PRAFULLA SEN GIRLS' HIGH SCHOOL"
"B1238","BIRATI MAHAJATI BALIKA VIDYAMANDIR"
"B1239","BIRATI VIDYALAYA FOR GIRLS"
"B1241","DAKSHINESWAR BHARATI BHAWAN GIRLS H SCHOOL"
"B1242","DAKSHINESWAR SRI SRI SARADA DEBI BALIKA VIDYAMANDIR"
"B1243","DESHBANDHU NAGAR VIDYAMANDIR FOR GIRLS"
"B1244","DESHBANDHUNAGAR DESHBANDHU VIDYAPITH FOR GIRLS"
"B1245","DUM DUM AIRPORT GIRLS HIGH SCHOOL"
"B1246","DUM DUM ANANDA ASRAM SARADA VIDYAPITH"
"B1247","DUM DUM BAIDYANATH INSTITUTION FOR GIRLS"
"B1248","DUM DUM CHRIST CHURCH GIRLS HIGH SCHOOL"
"B1249","DUM DUM GIRLS HIGH SCHOOL"
"B1250","DUM DUM MOTIJHEEL GIRLS HIGH SCHOOL"
"B1251","DUM DUM PRACHYA BANIMANDIR HIGH SCHOOL FOR GIRLS"
"B1252","DUM DUM SAHID RAMESWAR BALIKA VIDYAMANDIR"
"B1253","DUM DUM SARVODAYA BALIKA VIDYAPITH"
"B1254","DUM DUM SRI AUROBINDA BALIKA VIDYAMANDIR"
"B1255","DUM DUM SUBHASNAGAR GIRLS HIGH SCHOOL"
"B1256","GARIFA GIRLS HIGH SCHOOL"
"B1257","GARULIA BALIKA VIDYALAYA"
"B1258","GARULIA MUNICIPAL GIRLS HIGH SCHOOL"
"B1259","GHOLA BHUBANESWARI BALIKA VIDYAMANDIR"
"B1260","GHOLA GIRLS HIGH SCHOOL"
"B1261","HALISAHAR ANNAPURNA BALIKA VIDYALAYA"
"B1262","ICHAPORE ANANDA MATH BALIKA VIDYAPITH"
"B1263","ICHAPUR GIRLS HIGH SCHOOL"
"B1264","ICHAPUR ACADEMY"
"B1265","ICHAPUR MUKHADA BALIKA VIDYALAYA"
"B1266","JAFFARPUR CHARAKTALA GIRLS HIGH SCHOOL"
"B1267","JATIA GIRLS HIGH SCHOOL"
"B1268","JONEPUR GIRLS HIGH SCHOOL"
"B1269","KALYANNAGAR VIDYAPITH FOR GIRLS"
"B1270","KAMALAPUR KAMALA BALIKA VIDYAPITH"
"B1272","KANCHRAPARA GIRLS HIGH SCHOOL"
"B1273","KANCHRAPARA INDIAN GIRLS HIGH SCHOOL"
"B1274","KANCHRAPARA MUNICIPAL POLYTECHNIC BALIKA VIDYALAYA"
"B1275","KANCHRAPARA S D UCHCHA BALIKA VIDYALAYA"
"B1276","KANCHRAPARA UDBODHANI GIRLS HIGH SCHOOL"
"B1277","KANKINARA URDU GIRLS H SCHOOL"
"B1278","KANTHALPARA BHAGINI NIVEDITA BALIKA VIDYAPITH"
"B1279","KHALISAKHOTA ADARSHA VIDYALAYA FOR GIRLS"
"B1280","KHARDAH PRIYANATH BALIKA VIDYALAYA"
"B1281","KRISHNAPUR ADARSHA VIDYAMANDIR FOR GIRLS"
"B1283","LABAN HRAD VIDYAPITH FOR GIRLS"
"B1284","LAKE TOWN GOVT. SPONSORED GIRLS HIGH SCHOOL"
"B1285","MAHISPOTA GIRLS' HIGH SCHOOL"
"B1286","MANDALPARA GIRLS HIGH SCHOOL"
"B1287","MASUNDA GIRLS HIGH SCHOOL"
"B1288","MATHPARA GIRLS HIGH SCHOOL"
"B1289","MATILAL COLONY PANDIT MATILAL INSTN.(GIRLS)"
"B1290","NABAJIBAN COLONY MOKSHADA SUNDARI BALIKA VIDYAMANDIR"
"B1292","NAIHATI ADARSHA VIDYANIKETAN FOR GIRLS"
"B1293","NAIHATI KATYAYANI GIRLS HIGH SCHOOL"
"B1294","NAIHATI SARASWATI BALIKA VIDYALAYA"
"B1295","NALTA MAHAJATI HIGH SCHOOL FOR GIRLS"
"B1296","NANDAN NAGAR ADARSHA UCHCHA BALIKA VIDYALAYA"
"B1298","NARAYANPUR HARI CHARAN TARAFDAR GIRLS HIGH SCHOOL"
"B1299","NATAGARH SWAMI VIVEKANANDA SEVA SAMITY VIDYALAYA(FOR GIRLS)"
"B1300","NAWABGANJ BALIKA VIDYALAYA"
"B1301","NEW BARRACKPORE COLONY GIRLS HIGH SCHOOL"
"B1302","NIMTA JIBANTOSH GHOSH MEMORIAL GIRLS HIGH SCHOOL"
"B1303","NOAPARA BRAHAMAMOYEE VIDYALAYA FOR GIRLS"
"B1304","NONA CHANDAN PUKUR MANMATHANATH GIRLS HIGH SCHOOL"
"B1305","PALASI ACHARYA DURGA PRASANNA GIRLS HIGH SCHOOL"
"B1306","PANIHATI BALIKA VIDYALAYA"
"B1307","PATIPUKUR GIRLS HIGH SCHOOL"
"B1308","PATULIA GIRLS HIGH SCHOOL"
"B1309","PRAFULLANAGAR ACHARYA PRAFULLA CH VIDYAPITH FOR GIRLS"
"B1310","RAHARA BHABANATH INSTITUTION FOR GIRLS"
"B1311","RATHTALA FINGAPARA GIRLS HIGH SCHOOL"
"B1312","RATHTALA MANGELESWAR VIDYAPITH FOR GIRLS"
"B1313","RATHTALA RAJLAKSHMI BALIKA VIDYAMANDIR"
"B1314","SANTINAGAR BALIKA VIDYALAYA"
"B1315","SAPTAGRAM KISHOR BHARATI GIRLS HIGH SCHOOL"
"B1316","SAROJ BOSE SMRITI BALIKA VIDYAMANDIR"
"B1317","SETH BAGAN ADARSHA VIDYAMANDIR FOR GIRLS"
"B1318","SEWLI BALIKA VIDYALAYA"
"B1319","SHYAMAPRASADNAGAR BALIKA VIDYALAYA"
"B1320","SHYAMNAGAR BALIKA VIDYALAYA"
"B1321","SHYAMNAGAR RISHI AUROBINDA BALIKA VIDYALAYA"
"B1322","SINTHEE KASTURBA KANYA VIDYAPITH"
"B1323","SINTHEE SIKSHAYATAN FOR GIRLS"
"B1324","SODEPUR CHANDRACHUR VIDYAPITH FOR GIRLS"
"B1325","SODEPUR HIGH SCHOOL FOR GIRLS"
"B1326","SODEPUR SUSHIL KRISHNA SIKSHAYATAN FOR GIRLS"
"B1327","SUKCHAR SATADAL BALIKA VIDYAYATAN"
"B1328","SUNDIA GIRLS' HIGH SCHOOL"
"B1329","SWAMI MAHADEBANANDA VIDYAYATAN FOR GIRLS"
"B1330","TALPUKUR GIRLS HIGH SCHOOL"
"B1331","TITAGARH POURA MADHYAMIK BALIKA VIDYALAYA"
"B1332","UDAYPUR HARADYAL NAG ADARSHA VIDYALAYA FOR GIRLS"
"B1333","USHUMPUR ADARSHA UCHCHA VIDYALAYA FOR GIRLS"
"B1334","UTTAR DUM DUM VIDYAPITH FOR GIRLS"
"B1336","BEGUM ROKEYA SMRITI BALIKA VIDYALAYA (GOVT GIRLS SCHOOL)"
"B1337","HALISHAHAR KONA HIGH SCHOOL (CO-ED)"
"B1338","DUMDUM DESHBANDHU HIGH SCHOOL"
"B1339","DOGACHIA HIGH SCHOOL (CO-ED)"
"B1340","SANGRAMGARH MATHBAGAN NETAJI SIKSHA MANDIR (CO-ED)"
"B1341","BARUIPARA HIGH SCHOOL (CO-ED)"
"B1342","KULIAGORE SATISH GHOSH HIGH SCHOOL"
"B1343","SAHID NAGAR HIGH SCHOOL (CO-ED)"
"B1344","BHABAMAYEE AGHOREMONI HIGH SCHOOL (CO-ED)"
"B1345","ANJUMAN HIGH SCHOOL (CO-ED)"
"B1346","SWAMI VIVEKANANDA HIGH SCHOOL"
"B1347","NIMTA ISHAN CHANDRA BALIKA VIDYALAYA"
"B1348","ATHPUR BIMALAMOYEE BIDYAMANDIR"
"B1349","FATULLAPUR ADARSHA HIGH SCHOOL"
"B1350","SHALIDAHA HIGH SCHOOL"
"B1351","JAGATDAL SHAMS URDU HIGH SCHOOL"
"B1352","SREE NAGAR BUNIADI VIDYALAYA"
"B1353","GARIFA RABINDRA SHISHU SADAN HIGH SCHOOL"
"B1354","MATIKOLE CHARU CHANDRA SMRITI VIDYAMANDIR"
"B1355","ALIPORE VIDYAMANDIR"
"B1356","GANDHI SEVA SANGHA BUNIYADI MADHYAMIK VIDYALAYA"
"B1357","MATA MONOMOHINI MADHYAMIK VIDYALAYA (CO-ED)"
"B1358","BEDIA PARA MONOMOHIT VIDYAPITH"
"B1359","ALAMBAZAR ARYA VIDYALAYA HIGH SCHOOL"
"B1360","KATADANGA NORTH JANATA ARYA VIDYALAYA"
"B1361","MALANCHA HIGH SCHOOL"
"B1362","SHYAMNAGAR VIVEKANANDA VIDYAPITH"
"B1363","DESHBANDHU HIGH SCHOOL"
"B1364","DURGANAGAR HIGH SCHOOL"
"B1366","SHRI BABA SITARAM VIDYAPITH SHIVAMANDIR HIGH SCHOOL"
"B1367","SHRI SARASWATI VIDYALAYA HIGH SCHOOL"
"B1369","NAIHATI ANAND SWAROOP HIGH SCHOOL"
"B1370","NO 2 DESHBANDHU NAGAR HIGH SCHOOL"
"B1371","RANI RASHMANI HIGH SCHOOL"
"B1373","SISHUTIRTHA SUKANTA VIDYANIKETAN FOR GIRLS'"
"B1374","TARA BRAHMAMOYEE VIDYAMANDIR"
"B1375","BIDHANNAGAR MUNICIPAL SCHOOL"
"B1376","DUM DUM BHARATIYA VIDYAMANDIR HIGH SCHOOL"
"B1378","MADRAL HIGH SCHOOL"
"B1379","JAGATDAL LALITA DEVI BALIKA VIDYALAYA(HIGH SCHOOL)"
"B1380","JYOTIRMAYA YUVAJANA VIDYAKENDRAM HIGH SCHOOL(TEL MED COED)"
"B1381","SRI AUROBINDO SIKSHA SADAN(HIGH SCHOOL)"
"B1382","SACRED HEART DAY HIGH SCHOOL"
"B1383","DAKSHINESWAR ADYAPEATH ANNADA VIDYAMANDIR(HIGH SCHOOL)"
"B1384","TALBAGAN HIGH SCHOOL"
"B1385","ST. SOLDIERS CONVENT SCHOOL"
"B1386","NALANDA ENGLISH DAY HIGH SCHOOL"
"B1387","VIVEKANANDA NIVEDITA ADARSHA VIDYALAYA"
"B1388","BARRACKPORE SENATE PUBLIC SCHOOL(HIGH)"
"B1390","NORTH KOLKATA PUBLIC SCHOOL(HIGH SCHOOL)"
"B1391","DEROZIO MISSION HIGH SCHOOL"
"B1392","BISWASUK VIDYAPITH(MISSIONARY)(HIGH SCHOOL)"
"B1393","KAMARHATI UNION COLLEGIATE HIGH SCHOOL"
"B1394","MADARPUR SURABALA BALIKA VIDYALAYA(HIGH SCHOOL)"
"B1395","JADUNATHBATI SIBSANKAR HIGH SCHOOL"
"B1397","R.K. VIVEKANANDA MISSION DEAF,DUMB AND BLIND GIRLS' SCHOOL"
"B1398","ALAMBAZAR SRI ADARSHA HINDI MADHYAMIK VIDYALAYA(HIGH SCHOOL)"
"B2001","ADHATA HIGH SCHOOL"
"B2002","AKRAMPORE HIGH SCHOOL"
"B2003","AMDANGA HIGH SCHOOL"
"B2004","ASOKENAGAR BOYS SECONDARY SCHOOL"
"B2005","ASOKENAGAR VIVEKANANDA VIDYAMANDIR"
"B2006","ASOKNAGAR HIGH SCHOOL"
"B2007","ASWININAGAR J. N. MANDAL INSTITUTION."
"B2008","ASWINIPALLI HIGH SCHOOL"
"B2009","BAIKUNTHAPUR SATISH SMRITI VIDYAMANDIR"
"B2010","BAMANGACHI BHOLANATH HIGH SCHOOL"
"B2011","BANAMALIPUR PRIYANATH INSTITUTION"
"B2012","BANIPUR BANI NIKETAN HIGH SCHOOL"
"B2013","BANIPUR GOVT.BASIC CUM MULTIPURPOSE SCHOOL"
"B2014","BANIPUR STATE WELFARE HOMES HIGH SCHOOL"
"B2015","BARASAT BINAPANI HIGH SCHOOL"
"B2016","BARASAT MAHATMA GANDHI MEMORIAL HIGH SCHOOL"
"B2017","BARASAT PEARY CHARAN SARKAR GOVT. HIGH SCHOOL"
"B2018","BARASAT SATYABHARATI VIDYAPITH"
"B2019","BARASAT VIVEKANANDA ADARSHA VIDYAPITH"
"B2020","BAUGACHHI KASHIBALA VIDYAPITH"
"B2021","BELIAGHATA HIGH SCHOOL"
"B2022","BERACHAMPA DEULIA UCHCHA VIDYALAYA"
"B2023","BERGOOM HIGH SCHOOL"
"B2024","BHASLIA SOWLATIA HIGH SCHOOL"
"B2025","BIRABALLAVPARA HIGH SCHOOL"
"B2026","BISHNUPUR SIR RAMESH INSTITUTION"
"B2027","BODAI HIGH SCHOOL"
"B2028","BOHERAGACHI UNITED INSTITUTION"
"B2029","CHAMPAGACHI HIGH SCHOOL"
"B2030","CHANDPUR HIGH SCHOOL"
"B2031","CHARIGRAM SRI RAMKRISHNA ASRAM ADARSHA VIDYALAYA"
"B2032","CHATURDASH PALLI HIGH SCHOOL"
"B2033","CHAUMOHA HIGH SCHOOL"
"B2034","CHHOTA JAGULIA HIGH SCHOOL"
"B2035","CHOWRASHI HIGH SCHOOL"
"B2036","DAKSHIN HABRA HIGH SCHOOL"
"B2037","DAKSHIN NANGLA KUMRA UNION INSTITUTION"
"B2038","DEBINAGAR SRI GOURANGA VIDYAPITH"
"B2039","DIGHARA HARADAYAL VIDYAPITH"
"B2040","DUGDIA PALTADANGA HIGH SCHOOL"
"B2041","DUM DUM CHITTARANJAN COLONY HINDU VIDYAPITH"
"B2042","DUTTAPUKUR MAHESH VIDYAPITH"
"B2043","FALDI HIGH SCHOOL"
"B2044","GANGANAGAR BEHARILAL GHOSH VIDYAPITH"
"B2045","GOBARDANGA COLLEGIATE HIGH SCHOOL"
"B2046","GOBARDANGA KHANTURA HIGH SCHOOL"
"B2047","GOBARDANGA SRI CHAITANYA VIDYALAYA (HIGH)"
"B2048","GOLABARI PALLIMANGAL HIGH SCHOOL"
"B2049","GOPALPUR RAMKUMAR KAMALA VIDYALAYA"
"B2050","GUMA RABINDRA VIDYAPITH"
"B2051","GUSTIA KSHETRA NATH HIGH SCHOOL"
"B2052","HABRA HIGH SCHOOL"
"B2053","HABRA MODEL HIGH SCHOOL"
